"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","ratio_2_4","ratio_2_6","ratio_4_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6","V","V_1","V_2","V_3","V_4","V_5","V_6","V_7"
"m16 1 8-2_Spine85.mat",-0.0271209311334064,0.303164519,0.286344435,0.298007827,0.326869739,0.297268692,0.164094493,-3.102607866,1.312743322,0.961708799,1.796950978,-1.869669897,-0.975638376,-0.998967606,-0.98142931,-0.961798665,-0.949818964,-0.820770069,-0.960375858,0.224061891,0.283258819,0.368680008,0.452569555,0.462094747,0.414058741,0.136872694,0.140089313,0.216869173,0.299833498,0.344315287,0.278473408,3.41961365,2.905743284,0.849728531,2.561860278,1.869477025,0.772774668,0.607729937,0.333144857,0.461364927,1.519822372,1.524886614,1.487852757,1.384684885,1.309058181,1.277750044,0.481571233,0.008371635,0.039916132,0.063140594,0.113744075,0.159928626,0.148012993,0.026781235
"if6 2 0-2_Spine66.mat",0.0607658911145568,0.383002129,0.339679707,0.332548666,0.339806918,0.331623292,0.191009831,1.265607608,1.074667137,2.853268591,2.922983576,0.990230482,-0.327055273,-0.813081199,-0.998656246,-0.957789657,-0.97922988,-0.958868201,-0.996217571,0.292577374,0.317190047,0.408164031,0.506939351,0.593977417,0.519167976,0.112996883,0.141566877,0.210788928,0.283549828,0.357066362,0.293737239,3.201136466,3.396140913,1.060917255,1.826392577,0.92671965,0.63641147,0.296727686,0.064340385,0.048769916,1.135555109,1.192015825,1.128560378,1.102971124,1.054372538,1.068337526,0.640560656,0.010136343,0.046645011,0.073609467,0.128045769,0.195420404,0.206624926,0.041214237
"api m16 1 2-1_Spine234.mat",0.0599969093531195,0.114409542,0.145536599,0.144481351,0.145794783,0.137864954,0.074473061,2.167324364,1.460469995,0.177983951,2.307077326,2.837628915,-2.741292935,-0.962870702,-0.977507523,-0.900280071,-0.987576777,-0.908072314,-0.997077609,0.13777596,0.234154563,0.28282085,0.342885924,0.354939982,0.263316404,0.120954606,0.162186953,0.158179371,0.170892347,0.187910601,0.139282318,1.542956672,0.965729201,0.625895217,2.031271056,-0.768805205,-0.938535042,-0.005975002,0.291133907,1.464752413,1.491385124,1.55482401,1.496826402,1.483400448,1.462007674,1.525709849,0.100121252,0.001092609,0.012327634,0.023218126,0.026510317,0.032588202,0.024836081,0.004033659
"if6 1 5-4_Spine74.mat",0.120928296961955,0.517926514,0.508640969,0.540056265,0.542654,0.555549994,0.422905983,-0.463742088,2.761646739,2.39463739,2.05145408,1.354557848,-1.084091655,-0.986085754,-0.996510632,-0.944966962,-0.986441046,-0.921700464,-0.711467382,0.259489037,0.393261709,0.516871326,0.500223285,0.501774451,0.584994931,0.201055246,0.230149306,0.257999787,0.236631955,0.241789425,0.297593797,1.307813947,1.923466586,1.470749406,-1.525703401,-2.433469213,-3.066414193,-2.280623001,-0.937493063,-0.283694796,1.463236201,1.553890467,1.516564531,1.526434576,1.479504794,1.313734805,1.099055485,0.023702402,0.119911344,0.198703112,0.229341177,0.218267817,0.255674064,0.09270376
"m16 2 11api_Spine157.mat",0.110815060347938,0.326441218,0.295355317,0.30335198,0.296891829,0.285036877,0.23541198,1.406546127,0.991320002,2.514381383,-2.619114133,-1.396218772,-0.602162843,-0.78202871,-0.986931219,-0.988455594,-0.989054727,-0.995555705,-0.995310464,0.270393739,0.283976868,0.374752663,0.406988382,0.359270468,0.27981427,0.233982084,0.259055691,0.315258666,0.330321261,0.303902244,0.198638476,1.827437096,0.755539422,0.413442096,2.90880965,0.406631599,0.314605387,0.260462356,0.307404844,0.465706858,1.509369442,1.368565677,1.173765583,1.086896419,1.079233228,1.047574165,0.448077325,0.012370547,0.067718388,0.091686947,0.129510651,0.127557053,0.081076593,0.017326011
"if6 1 2-2_Spine5.mat",0.0129519987409769,0.162167208,0.185503232,0.195336204,0.190747647,0.173421366,0.118772309,1.973236495,1.706328228,0.542270642,-1.34812098,-2.245559195,-0.929777287,-0.991878041,-0.993056863,-0.996489786,-0.997750043,-0.998888695,-0.992883304,0.172517633,0.264662324,0.293390775,0.293650025,0.249602692,0.164537709,0.130020611,0.188802342,0.210090633,0.213200542,0.198563788,0.159173326,1.252907038,0.524126646,0.41832844,-3.038298897,2.964295664,-2.94918041,1.048763069,1.334273861,2.780691053,1.37976413,1.45625934,1.534647286,1.548715297,1.541981332,1.501707648,0.148052503,0.004259444,0.026504701,0.044142078,0.048662784,0.04386304,0.025000697,0.005583716
"m16 1 3-2_Spine26.mat",0.000548133817493017,0.013118782,0.086896079,0.135230237,0.154364012,0.1380223,0.0811351,0.829669942,0.268511783,1.074062352,-2.73109792,0.751385225,0.020098059,-0.597002518,-0.905127419,-0.807228108,-0.957312253,-0.882412635,-0.952059286,0.124249672,0.251177549,0.365794557,0.383688062,0.371170073,0.271398822,0.124219827,0.227193339,0.231844179,0.240140682,0.199641356,0.126253751,1.614609913,0.600448602,0.371884625,0.150080796,0.344581327,0.510992664,0.349631169,0.086264101,0.161510067,1.508528815,1.416332681,1.219664305,1.121432904,1.045408807,1.105070678,0.090768023,0.000120399,0.004165059,0.019994147,0.042564976,0.054439011,0.036916355,0.006251989
"m16 2 8api_Spine102.mat",-0.00749969313606069,0.100823718,0.114446615,0.135178183,0.134594942,0.214983992,0.115944805,1.882147453,2.968395689,-0.761324588,0.320162985,0.531458293,2.709357398,-0.234133641,-0.888952713,-0.875028786,-0.981009518,-0.772831941,-0.817078156,0.133793703,0.268697816,0.387038474,0.52348298,0.608215035,0.442938923,0.073063491,0.173304262,0.268915533,0.387157641,0.379618031,0.225150683,4.352281935,2.141626506,0.492069801,0.828133554,0.567301592,0.381128725,0.301933907,0.45557731,0.362331256,0.860717536,0.36838033,0.180701514,0.0150090389999997,-0.0333955570000002,-0.0322983880000003,0.280932739,0.001423319,0.017108773,0.058326295,0.122243674,0.177511203,0.137844294,0.02525999
"api m16 1 9-1_Spine156.mat",0.0820186579889883,0.31582499,0.394920703,0.378194983,0.36943233,0.350506609,0.251995655,0.804854163,2.840227469,-1.492709703,0.268142202,1.823713654,-2.832499313,-0.869917973,-0.892543753,-0.99966695,-0.982468324,-0.995007441,-0.94868186,0.333781291,0.549188935,0.555548125,0.589024264,0.570188945,0.436566244,0.279366871,0.34881442,0.430744016,0.423754398,0.358017584,0.260049635,1.302960336,0.59263895,0.454840361,-0.459310649,0.821188753,0.307042265,0.010256615,-0.085328835,-0.330282082,1.373641663,1.318991627,1.318283475,1.319559424,1.341360526,1.395994603,1.185782622,0.027455545,0.206875731,0.370974932,0.386292182,0.325110315,0.208558544,0.042133389
"api m16 1 9-1_Spine143.mat",0.0232074908713114,0.227891336,0.249744359,0.254678351,0.252683257,0.23425924,0.171139495,1.84939276,0.732751372,0.2952761,-0.768347284,-2.796310946,-1.96315607,-0.903120731,-0.985755444,-0.999592895,-0.988214906,-0.978662228,-0.818758485,0.20298165,0.30802842,0.363472306,0.425072852,0.433900672,0.352481392,0.194234974,0.283864341,0.318957956,0.303855063,0.288381043,0.217212589,1.477162308,0.875627834,0.592776995,2.656253896,0.008548845,0.041427203,0.025685695,0.021163303,0.085226142,1.452145276,1.514094825,1.42248942,1.346431784,1.351247039,1.344054525,0.39860336,0.008185582,0.050644802,0.092831566,0.119281319,0.133166902,0.097977384,0.020785701
"if6 2 5api_Spine73.mat",0.0419668151507296,0.208940263,0.185538502,0.176397867,0.169124888,0.172479715,0.080042631,1.844032155,1.380112362,-2.50339168,0.47433441,-0.212778674,2.267182176,-0.920090925,-0.938373052,-0.943133386,-0.929340067,-0.988206481,-0.904282612,0.165017318,0.140378395,0.213505547,0.252407219,0.326021899,0.306580381,0.079910333,0.112414456,0.146393102,0.211114271,0.246093343,0.179579229,3.376734608,3.4888157,1.033192153,2.583849264,-1.0179974,-0.028129393,-0.205151594,-0.102693319,-0.243398018,1.352096407,1.530864287,1.223487184,1.158693345,1.122033841,1.047909048,0.124522418,0.002700564,0.010973117,0.013811136,0.027014897,0.043583218,0.043298969,0.008914529
"m16 2 10-3_Spine56.mat",0.0284796387174897,0.261831064,0.257551333,0.269219164,0.318779141,0.321018702,0.228251118,2.277238766,2.331927245,1.590291936,1.115573324,-0.500346331,-1.18801595,-0.987944336,-0.936228096,-0.903947624,-0.978115753,-0.9932718,-0.969209512,0.236494418,0.407906702,0.529751525,0.669110985,0.630393063,0.424980696,0.109162302,0.183603626,0.316865338,0.397494308,0.393298938,0.26380758,3.551296875,1.496974418,0.421528943,-1.140202224,-0.869283325,-0.7869486,-0.581278516,-0.526618569,-0.472883994,1.151669677,1.339947365,1.248343455,1.14516178,1.156643026,1.261485179,0.685647015,0.007797884,0.053012228,0.133090258,0.226294831,0.300938157,0.19498729,0.036220613
"m16 1 6-2_Spine123.mat",0.00297742255118921,0.17992854,0.168358245,0.150424772,0.170965352,0.174247378,0.137703294,0.513885787,2.387628266,1.983535754,-2.562155035,0.075052902,-0.073376038,-0.88114568,-0.875709991,-0.934636871,-0.991045872,-0.990833938,-0.822693435,0.180746318,0.232679032,0.30648556,0.4286146,0.50030358,0.459443596,0.113903062,0.126282045,0.149606713,0.218079193,0.253606211,0.183014875,3.181136754,2.86167124,0.899575045,-0.1790344,0.113395363,0.067154258,-0.053403212,-0.167689251,-0.175903882,1.121256355,1.107211044,1.109315615,1.010761458,1.002268209,1.002820496,0.2028057,0.002753287,0.016383659,0.026897596,0.04645781,0.082676205,0.084499076,0.021643755
"m16 1 3-1_Spine56.mat",-0.0754344116186313,0.039857964,0.080781786,0.101460165,0.337995601,0.195652353,0.137859958,-3.044063666,-3.078476982,0.824356159,1.355310621,1.603540545,2.215838809,-0.947953906,-0.986082644,-0.897107675,-0.781817676,-0.995994661,-0.980916489,0.147994383,0.281816791,0.440815263,0.562790018,0.410841392,0.282743144,0.105476333,0.218918679,0.265644913,0.256693493,0.209986479,0.135443133,2.34159381,0.620725219,0.265086633,-2.823478731,-2.421707889,-2.386358661,-1.751505075,-1.129753511,-0.938541361,1.168938661,1.15036967,1.170703579,0.875299104,1.238177568,1.290818392,0.181367349,0.000535163999999999,0.014213312,0.060645342,0.115173446,0.122729976,0.040308237,0.007983109
"m16 1 13-2_Spine6.mat",0.0694237660435839,0.315024967,0.298686257,0.318808786,0.306772467,0.321415771,0.181436856,1.847185283,-0.475144516,0.0425463519999999,-2.748355899,3.055477404,-1.956563568,-0.927421247,-0.990717957,-0.968269407,-0.990077213,-0.947979933,-0.983442036,0.244872376,0.342225262,0.458241908,0.465917694,0.533609556,0.460622273,0.141988268,0.204099511,0.257804824,0.315788241,0.363910858,0.305204369,2.106449874,2.012712073,0.955499629,0.957183071,0.751922118,0.441518363,0.497505512,0.562394283,0.726353215,1.249395374,1.346590704,1.352993497,1.340286978,1.33779613,1.311418742,0.635663778,0.008362254,0.055221574,0.098863761,0.150867436,0.195959125,0.188433655,0.037448105
"m16 2 11api_Spine93.mat",0.0389416739451829,0.045316755,0.079131043,0.112531041,0.107453397,0.131421302,0.165585927,2.113253862,-0.145235484,0.811476698,-2.340894181,1.214483741,0.565010617,-0.653440292,-0.967353015,-0.995450952,-0.980942696,-0.927883738,-0.70372358,0.125965133,0.264607836,0.386456497,0.484607415,0.504000471,0.377720796,0.108384492,0.177914466,0.250997197,0.292157087,0.270875918,0.152095353,3.007409155,1.220317613,0.405770399,-0.434973602,-0.515411382,-0.624680275,-0.667068062,-0.83226078,-1.303276156,1.138784022,1.181150161,1.253543318,1.26819733,1.325366353,1.50072259,0.143676046,0.001411725,0.013061071,0.045615143,0.084936307,0.103546746,0.064891224,0.014548853
"if6 1 12api_Spine21.mat",-0.00867768536532315,0.078262279,0.087090431,0.096607847,0.111470218,0.090542235,0.154869817,2.060140246,1.312517888,-2.452928107,-2.0071842,0.646815013,0.561039052,-0.947310848,-0.97915728,-0.94564164,-0.968366763,-0.987817258,-0.121440108,0.092947496,0.175952198,0.220990321,0.274044082,0.271704172,0.259351655,0.064237461,0.097623737,0.133773947,0.14501255,0.139817817,0.094600568,2.313534015,1.428343429,0.617385964,2.57048486,0.130214753,-0.269991128,-0.682820078,-0.409831376,-0.50078616,1.399064785,1.422727702,1.346187972,1.382820258,1.311367921,1.24902257,0.043661117,0.000653627,0.004561497,0.01060431,0.018425027,0.022539815,0.017764427,0.005019584
"api m16 1 5-1_Spine231.mat",-0.0390766914365703,0.177910556,0.162848052,0.205521347,0.222333251,0.21482666,0.191163542,-0.688801852,2.309968083,1.204453771,-0.230049916,0.320674252,2.591828468,-0.924853465,-0.777811923,-0.968844674,-0.990426918,-0.988208938,-0.952815416,0.112721358,0.190483419,0.267612616,0.332399041,0.31454828,0.220929119,0.073266454,0.165931703,0.24986457,0.232982394,0.212261458,0.156894919,2.450170555,1.096668301,0.447588556,-3.093553902,2.328543435,-1.881782812,-1.442070667,-2.147749445,-2.988417259,1.281047794,1.333937001,1.426889777,1.378232269,1.434600493,1.38355486,0.160059923,0.001933222,0.015490526,0.051166901,0.083695485,0.079178767,0.043335956,0.009260888
"if6 2 15api_Spine13.mat",-0.00477355240645065,0.015250276,0.068505499,0.160610776,0.216715518,0.200739081,0.055260996,-2.78576,2.604783006,1.72007007,1.17434987,0.545828482,-2.997983638,-0.942139844,-0.845428559,-0.62159549,-0.982546837,-0.995225971,-0.733856888,0.14055976,0.284945531,0.435480871,0.490475318,0.483177997,0.370754379,0.126840238,0.249685977,0.30752731,0.299155367,0.277333233,0.187024496,2.062329027,0.974605325,0.47257509,2.887381697,-2.981825259,-2.159893332,-0.87273719,-0.299194707,-0.093720948,1.475084492,1.47815103,1.476027155,1.373870889,1.199910226,1.093228283,0.178289175,0.000588923,0.010110229,0.051076936,0.10544511,0.117635026,0.086502405,0.016719124
"m16 1 13-3_Spine22.mat",0.171539205271806,0.647323426,0.632350716,0.610071305,0.650836398,0.65172064,0.418991169,-3.100282043,-0.930239318,1.416376704,1.65181437,1.385844924,-1.082355058,-0.975009776,-0.936532119,-0.928094294,-0.770634463,-0.893353475,-0.927103062,0.471302004,0.325431907,0.317788585,0.463245101,0.556101694,0.637690148,0.260359081,0.176746495,0.183680586,0.281181679,0.386796925,0.499755738,2.264576072,5.540596919,2.44663758,-0.20304789,-0.413581051,0.05229417,-0.019605174,0.057230664,0.049334747,1.432893364,1.437258324,1.430424037,1.489490769,1.199121332,0.852845793,1.578919484,0.075587654,0.198812012,0.11028603,0.192621695,0.348798667,0.5399588,0.198769617
"if6 2 4api_Spine133.mat",0.112145085893681,0.454072685,0.486971081,0.375504758,0.433011979,0.463458344,0.324518676,-1.966309886,0.671015467,2.669906165,-0.159585078,2.119441822,-1.217125952,-0.986691811,-0.908380197,-0.947458082,-0.994548055,-0.911951212,-0.897999702,0.339145726,0.238495565,0.171982452,0.430781936,0.556499212,0.516933005,0.214235299,0.087169538,0.113841043,0.308560462,0.402704663,0.31737024,6.393706641,7.891424523,1.234248765,3.007882184,-1.454023421,-0.302619922,-0.40305342,-0.283565384,0.905892948,1.336829582,1.384668288,1.458412139,1.441067299,1.446581376,1.452527325,0.813031124,0.027375229,0.073125552,0.032581996,0.093168923,0.26773231,0.290253964,0.066437952
"if6 2 4api_Spine75.mat",0.00725916753950491,0.082810776,0.111368002,0.107518158,0.121024682,0.100089916,0.063363925,2.349899959,1.228876051,-2.943210353,2.817545088,-2.264444489,-2.073769468,-0.884535752,-0.663735325,-0.979439236,-0.988967089,-0.953884375,-0.92567495,0.10144916,0.222230743,0.279170693,0.288356489,0.258767737,0.172306994,0.079450037,0.125254522,0.145533454,0.179734997,0.167365244,0.094296854,1.861936324,0.583717291,0.313500136,0.408144733,0.064910653,-0.004864433,0.136262111,0.19456734,0.382265609,1.368731432,1.318627933,1.243245258,1.23946439,1.19391099,1.192757323,0.052728282,0.000629648,0.00514536,0.014545223,0.023988361,0.025013535,0.013965242,0.001977487
"api m16 1 5-1_Spine147.mat",0.0548695881849793,0.127038891,0.107023951,0.108705538,0.105188887,0.10080834,0.126019988,1.725174961,-2.468005041,-0.198900488,2.459659381,1.272829832,-0.194931084,0.285031141,-0.874205103,-0.995095353,-0.999790572,-0.991129877,-0.941142011,0.097802918,0.161702959,0.152130787,0.13614799,0.122628656,0.103846659,0.075274235,0.102610301,0.118597202,0.111454772,0.109619343,0.083349721,0.914536349,0.521660255,0.570409536,-1.531048612,-0.527858424,-0.294847158,-0.203206142,-0.192605358,-0.264839744,1.329944022,0.00915601599999971,0.0524976719999999,0.0702373490000001,0.119618497,0.160069504,0.021085318,0.000452505000000001,0.003810673,0.008067448,0.00834069899999999,0.00646038700000001,0.004272578,0.001282269
"if6 1 2-2_Spine44.mat",-0.0137696269045253,0.08168436,0.132561311,0.198979048,0.197932407,0.182089131,0.134056689,1.720906933,1.38452991,-1.710486283,-1.89377366,-0.385760033,1.929492839,-0.948963173,-0.94257591,-0.97040765,-0.994696397,-0.998799811,-0.953137754,0.166139149,0.340278809,0.49330734,0.430551988,0.338378095,0.226362497,0.158266985,0.244718357,0.238463242,0.221477905,0.192345513,0.137322483,1.145129369,0.373288551,0.325979371,0.621730257,-0.00648911400000001,-0.214763487,0.003474752,-0.085174916,-0.170577901,1.494937559,1.439891192,1.404993794,1.250051817,1.175137065,1.119522576,0.21393315,0.001208007,0.027786738,0.088019948,0.122244703,0.081125212,0.040103027,0.007479886
"m16 1 13-1_Spine66.mat",0.0352891871937795,0.183561425,0.255541916,0.212014752,0.225120934,0.225678143,0.178066215,2.180913687,1.106670113,-1.385194116,0.804552852,2.110576176,1.248198268,-0.866981638,-0.941384119,-0.979481225,-0.984415481,-0.980603689,-0.926820092,0.219418296,0.312737124,0.295172088,0.378449145,0.401716923,0.341197136,0.18740681,0.183247964,0.216832691,0.269773588,0.269896705,0.190513646,1.781510392,1.134260663,0.636684842,-1.040843461,-1.22361944,-0.487774497,-0.365264399,-0.323845582,-0.255512952,1.286564918,1.318858254,1.248427389,1.194683003,1.170834281,1.174218415,0.276180987,0.00444706,0.036929897,0.056743199,0.068112492,0.087898868,0.071873006,0.01381249
"if6 1 5-3_Spine57.mat",0.00875057013133553,0.00176593,0.00905537299999998,0.025357938,0.071504497,0.064098743,0.085740064,2.04636678,2.567939584,1.761693938,0.543464094,-1.723790667,1.237874961,-0.999607849,-0.700075617,-0.987730625,-0.888496316,-0.885171631,-0.227931608,0.069033687,0.138044511,0.21003941,0.294524095,0.344687793,0.238093246,0.068964737,0.13765276,0.19367168,0.190081351,0.13078051,0.073457447,2.946159632,0.920404732,0.312408303,-1.996358628,-2.008765927,-1.189479328,-1.893508586,0.490763961,2.193328404,1.56413391,1.56416225,1.536783961,1.550182165,1.566051099,1.454209423,0.022993744,4.37505999999997e-05,0.000350859000000002,0.00336143,0.011581504,0.018582648,0.013447675,0.002850194
"api m16 1 9-1_Spine45.mat",0.0313674164045945,0.231253795,0.241501618,0.246077021,0.235714231,0.239111278,0.179933027,2.230926103,0.677756503,0.695234491,-1.835026376,1.728583513,-1.639692367,-0.93354137,-0.970232791,-0.996356382,-0.996576119,-0.998310821,-0.946167646,0.194257201,0.26051376,0.270192842,0.245061795,0.231020808,0.20306035,0.137972758,0.171983234,0.190123275,0.208509393,0.218480495,0.169026665,1.140471558,0.76606139,0.671705826,1.846122927,1.403877602,1.137834873,0.936400435,0.932587146,0.993757794,1.272214426,1.422897239,1.439438124,1.40797349,1.404351954,1.387531688,0.174727914,0.005238411,0.028963207,0.043597666,0.046156287,0.043317423,0.035895638,0.008611506
"if6 2 0-2_Spine82.mat",-0.0222391421165523,0.031575857,0.0734596,0.083115458,0.08851441,0.090317665,0.072449958,-2.731173934,1.111381963,0.908212713,1.150820525,-2.936773806,1.708222489,-0.787980056,-0.929885423,-0.853785982,-0.986304376,-0.991387086,-0.982697108,0.074411088,0.15516294,0.18681202,0.211749182,0.198042432,0.150660482,0.067606136,0.076586761,0.075612184,0.075621053,0.072672245,0.060055314,1.347481341,0.761393367,0.565049284,2.381247792,2.763464172,2.992779319,2.9655602,2.133708056,1.677710263,1.305949004,1.439603074,1.325501222,1.417673639,1.41720239,1.399854197,0.0149725880000001,0.000154539,0.001893121,0.004458358,0.00551136300000001,0.00582379999999999,0.00424887600000001,0.001041496
"m16 1 2-1_Spine56.mat",-0.00185408243665261,0.25164447,0.217987083,0.208348352,0.239145403,0.220362502,0.131486286,2.470429683,0.0248416939999998,-0.292618526,-0.361406369,2.72267995,0.802505939,-0.949617407,-0.994764229,-0.964185677,-0.994139547,-0.986910991,-0.982440875,0.192472369,0.200195224,0.306290757,0.419194971,0.433973487,0.337170457,0.137169714,0.12289292,0.202320768,0.295624208,0.300476715,0.205763642,5.037040941,2.819925113,0.55983764,0.995137482,1.152374476,0.423746754,0.410846026,0.481694629,0.567990906,1.352731362,1.305850966,1.406802844,1.423071131,1.423178594,1.406388718,0.295788131,0.005025936,0.020526737,0.031718749,0.071179345,0.109128616,0.07854796,0.013705655
"if6 2 2-2_Spine62.mat",0.0317074318361335,0.369885089,0.32428125,0.37064204,0.401663914,0.312867206,0.146760876,2.126826589,1.654986027,1.805711904,1.105156782,2.89764684,-0.28843114,-0.974917258,-0.805099584,-0.873395571,-0.971257728,-0.870050254,-0.845850892,0.38786876,0.394712092,0.665538486,0.828233525,0.926445849,0.675643369,0.189464673,0.212304106,0.359205309,0.527741779,0.597151821,0.408462638,5.215974478,3.29329801,0.63138691,-1.252148562,-0.648885351,-0.285269016,-0.132872739,-0.075932025,-0.071323003,1.35181226,1.344936666,1.071182388,0.754079146,0.593844254,0.556241088,1.591651021,0.026892686,0.113565691,0.184134702,0.397710205,0.656994807,0.516094879,0.056140242
"m16 2 10-2_Spine80.mat",0.123434064268197,0.373010504,0.347462076,0.355588998,0.393173724,0.358102367,0.184018207,0.365077678,-1.785775316,1.727663802,1.584579881,-2.415688023,-0.451547548,-0.9963219,-0.995860611,-0.850964525,-0.937090016,-0.998493404,-0.995448143,0.233928018,0.305141085,0.413022777,0.524809074,0.597980418,0.496583102,0.135040161,0.14967123,0.239272483,0.410212319,0.500359558,0.356392281,4.713798544,3.875084805,0.822072638,2.172485266,1.304758954,2.092091441,-0.013344233,-0.186153686,-0.066744509,1.515585636,1.536615888,1.469047147,1.450570866,1.272700081,1.256439481,0.845054843,0.012023238,0.050202639,0.090028189,0.184809816,0.312387972,0.289674952,0.051258925
"if6 1 12api_Spine80.mat",0.00315118416932083,0.31214788,0.264093514,0.264914488,0.262443583,0.271885967,0.203665492,2.648565653,1.044862592,-0.86151462,1.880193802,1.594669292,2.320594053,-0.975140224,-0.968415065,-0.941835883,-0.977930155,-0.993293993,-0.967876792,0.277071131,0.223726945,0.322486595,0.391922333,0.475494774,0.416603941,0.130043704,0.124137865,0.147806174,0.214117612,0.264705793,0.202075613,3.021550379,3.031200856,1.003193883,2.220618889,-0.420193105,-0.463010588,-0.133873654,0.124870244,-0.088550459,1.526725276,1.455298968,1.391056713,1.442097233,1.430975526,1.442034126,0.327364379,0.009853077,0.036115931,0.037667562,0.061370951,0.101170098,0.104429135,0.02426311
"m16 2 8-3_Spine35.mat",-0.062656301818106,0.384095499,0.360908773,0.357953314,0.350035906,0.347461888,0.292534477,2.134583846,0.19347728,0.932973901,-1.787081631,-1.566634501,2.451707607,-0.902623278,-0.967285056,-0.992165124,-0.994261817,-0.976356825,-0.977433785,0.306793333,0.348654037,0.361073991,0.374758532,0.433357476,0.429357623,0.183641677,0.217112646,0.233184884,0.254914582,0.229239461,0.179661262,1.26202044,1.019046037,0.807471895,1.70307576,0.000369289999999998,-0.223009169,-0.157783121,-0.217968877,-0.28430765,1.360284308,1.441686675,1.407099239,1.370321382,1.363405646,1.371819271,0.520001965,0.018154182,0.085683612,0.103520076,0.10834271,0.117867483,0.105158093,0.028861638
"if6 2 2-1_Spine33.mat",0.0496472851686139,0.115448932,0.30978677,0.198281753,0.19654536,0.226616076,0.220186092,1.080747943,1.00459533,2.380119766,2.37609071,-2.699028911,-2.774257004,-0.758985411,-0.890795454,-0.997942587,-0.987674833,-0.989901452,-0.812954192,0.234442003,0.382247737,0.415816744,0.535063343,0.673606044,0.661912805,0.137410545,0.19710922,0.169326938,0.240423882,0.279350513,0.204929714,1.707382955,1.800337198,1.054442527,0.391042301,2.162763892,0.425220473,0.312244934,0.241718077,0.236442471,0.764622882,1.499496171,1.089515468,0.812517273,0.686794387,0.711372826,0.366901695,0.006169452,0.038558541,0.065142198,0.07712847,0.134778178,0.154819026,0.040628369
"if6 2 15api_Spine89.mat",0.0316849103594857,0.151552632,0.226439825,0.298825633,0.283596859,0.224967316,0.167309218,1.296994408,2.047664544,1.435747338,2.733803841,-1.179901012,-1.282468356,-0.934235402,-0.96895466,-0.920518799,-0.990499379,-0.820604349,-0.89623829,0.241282851,0.44440582,0.595046112,0.634264694,0.664419519,0.50444453,0.22255966,0.40264651,0.478908159,0.461793235,0.419533242,0.250853641,1.636870899,0.707180292,0.432031807,-1.772321882,0.122628794,-0.178578252,-0.0544952,-0.105977215,-0.088292615,1.475002361,1.365093101,1.308038439,1.185881736,1.107414267,1.062680507,0.830181444,0.012410134,0.103175689,0.244691174,0.325908235,0.327674464,0.211228035,0.036896984
"if6 1 3-3_Spine88.mat",-0.0177345121527139,0.125626012,0.230333013,0.215470524,0.238292663,0.210098691,0.099997279,2.532836841,0.960331436,-0.119409523,1.802186477,-0.535118382,2.932616939,-0.961089714,-0.951944808,-0.951915523,-0.809268123,-0.988791814,-0.964178127,0.200606938,0.390039586,0.405193548,0.397662254,0.374184227,0.258743872,0.157971169,0.198432069,0.233927644,0.264578956,0.280506971,0.217270787,1.359405807,0.726358231,0.534320383,-2.36768219,-2.053002917,-1.04229154,-0.360618665,-0.448161572,-0.865394108,1.425531681,1.419242303,1.376355105,1.434775174,1.352705122,1.348575913,0.261903888,0.00490378,0.041778838,0.08558616,0.087502962,0.085298724,0.060168232,0.00939706
"if6 1 12api_Spine78.mat",0.055094238098043,0.370223231,0.36549793,0.384121778,0.377740543,0.363640523,0.250332784,2.831064504,1.382317981,1.620138172,-2.211587092,0.00880824099999999,1.924377109,-0.999326485,-0.931655346,-0.958481843,-0.982130882,-0.988369365,-0.998656719,0.251199556,0.318808682,0.441900274,0.586437472,0.595886108,0.377307204,0.202755863,0.287634095,0.32200634,0.374692736,0.422078976,0.311188188,2.396218864,1.280405988,0.53434434,1.91363149,1.938386115,0.747023133,0.355981689,0.203457567,0.063687338,1.36533403,1.438332258,1.422479516,1.270000448,1.247201811,1.201629268,0.956989858,0.016250557,0.087690031,0.147359114,0.251175617,0.359236137,0.265459956,0.05290685
"api if6 1 9-1_Spine142.mat",-0.0137997833098896,0.138345783,0.197035387,0.184240929,0.212218076,0.191415514,0.138571221,1.886026575,1.89990841,1.191783043,-0.213687626,0.044788678,-1.517100169,-0.886373427,-0.939349183,-0.833846941,-0.906560014,-0.852133963,-0.871498673,0.158350608,0.25776783,0.23202915,0.287195389,0.303771207,0.23177365,0.104824768,0.135877285,0.187916283,0.157350783,0.158046314,0.11946757,1.290240873,0.790566692,0.612727986,-2.378246057,-1.276836042,-0.358035952,0.195897715,0.33291593,0.320875573,1.457856083,1.374814451,1.14562193,0.89000083,0.6452257,0.50766058,0.095405154,0.002476876,0.016506472,0.03138082,0.035264653,0.035470449,0.02687285,0.004693003
