"","h_1","h_2","h_3","h_4","h_5","h_6","h_7","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","cos_phi_2","cos_phi_3","cos_phi_4","cos_phi_5","cos_phi_6","cos_phi_7","B_r_1","B_r_2","B_r_3","B_r_4","B_r_5","B_r_6","B_R_1","B_R_2","B_R_3","B_R_4","B_R_5","B_R_6","ratio_2_4","ratio_2_6","ratio_4_6","inst_Phi_1","inst_Phi_2","inst_Phi_3","inst_Phi_4","inst_Phi_5","inst_Phi_6","inst_Theta_1","inst_Theta_2","inst_Theta_3","inst_Theta_4","inst_Theta_5","inst_Theta_6","V","V_1","V_2","V_3","V_4","V_5","V_6","V_7"
"api m16 1 9-1_Spine100.mat",0.0401686380902691,0.249043578,0.335986718,0.306952015,0.241823439,0.268929351,0.193104704,-0.102548221,2.208493849,1.246356779,-1.5751707,3.093383627,-2.639591468,-0.962346321,-0.724329764,-0.814995826,-0.972497287,-0.964663742,-0.967932944,0.268439173,0.438254508,0.380390823,0.407632641,0.583448893,0.576087634,0.176385973,0.173127635,0.175851766,0.215249449,0.286860069,0.230600553,1.156426976,1.750878904,1.514041908,0.041125811,0.96622766,-0.691330365,0.000324706,0.157581519,0.178833316,1.406154788,1.424858026,1.469462052,1.217111096,1.082714256,1.068390569,0.455236492,0.012045269,0.067548623,0.087191342,0.077199166,0.118533307,0.15720117,0.040658141
"m16 1 8-2_Spine101.mat",-0.0178518417042381,0.153949779,0.204027719,0.265774282,0.194964001,0.184843244,0.118463541,2.198686806,1.550541481,0.577691537,2.20324257,-2.736561897,-2.896415545,-0.906222482,-0.992610349,-0.610892779,-0.823518038,-0.937026083,-0.880479482,0.185834713,0.327005896,0.35673761,0.336384985,0.416054594,0.328619938,0.178067828,0.262150772,0.207797716,0.203608897,0.256287634,0.190047381,0.79896293,0.728532745,0.911847993,2.015126449,-0.412184985,-1.495612929,-1.457863049,0.139060841,0.270448639,1.445712378,1.513540671,1.501158628,1.541561531,1.387831468,1.414195378,0.218173294,0.002933045,0.033405118,0.05683928,0.046753287,0.06446395,0.058893939,0.009750653
"m16 2 3api_Spine28.mat",0.0995713020643344,0.514991471,0.490115492,0.489724953,0.470871539,0.492017986,0.315367839,1.262959905,2.866689143,0.864478918,-3.08687859,-0.056290808,1.850956231,-0.931937968,-0.991206617,-0.961887377,-0.899397318,-0.958344634,-0.998236022,0.302330054,0.259269151,0.352199879,0.362530997,0.508815293,0.460903479,0.173285158,0.166732627,0.235106545,0.278854768,0.424092033,0.358679189,2.338577581,3.824236358,1.635283083,1.912590045,0.817674412,0.362133297,0.250096704,-0.134436977,-0.164741021,1.492589646,1.385153767,1.332264579,1.270116199,1.213833691,1.203925159,0.955659526,0.02390622,0.07945092,0.100957444,0.147157791,0.243202302,0.322315916,0.069433731
"m16 1 9-2_Spine20.mat",-0.0218815413702036,0.357615977,0.350088618,0.343865725,0.339873899,0.331585796,0.183847275,2.028897625,-1.8253782,-2.275725523,1.230894847,-1.246446016,1.033724357,-0.9954367,-0.997553397,-0.997910249,-0.948442557,-0.981078052,-0.991384337,0.243743154,0.285848635,0.353047913,0.462860014,0.525534373,0.627099606,0.204924338,0.230688389,0.273541843,0.317845658,0.372498674,0.249531972,2.231023209,2.373017103,1.063645189,-0.03707137,2.169444699,-2.070416338,-2.354587393,-0.064209713,0.264573028,1.555285482,1.556655511,1.562882774,1.538206418,1.526662677,1.517733656,0.716719769,0.013280859,0.071407163,0.100205797,0.148310183,0.214078479,0.228934366,0.049977198
"if6 1 3-1_Spine10.mat",-0.0298082377502815,0.02024177,0.102591929,0.120281939,0.119218647,0.107563257,0.057718223,1.521284727,1.820892543,-1.061638654,-1.53695302,1.914326333,3.025684691,-0.654320361,-0.964681343,-0.88127121,-0.943131696,-0.999816393,-0.682537332,0.121674915,0.242332356,0.305022165,0.301869526,0.245808804,0.155775324,0.121627931,0.222989745,0.269016553,0.245279597,0.199492205,0.140671087,1.370201385,0.405515267,0.295953041,-0.432738105,-0.191742712,-0.107660428,-0.066176979,-0.108638213,-0.400516026,1.498871637,1.369983724,1.167920955,1.10465247,1.118847886,1.099629428,0.082150652,0.000138371999999999,0.004962669,0.024279821,0.043050751,0.031760238,0.01587941,0.002322868
"api m16 1 2-1_Spine116.mat",0.0345510163943459,0.330343243,0.293894351,0.285496485,0.304244524,0.315954125,0.252609922,1.540117721,-1.894675519,1.070850035,1.153002086,2.555262412,-2.056240897,-0.668662003,-0.925978992,-0.983405267,-0.984116624,-0.998848152,-0.861766165,0.295459988,0.320831497,0.377030716,0.518091764,0.61137996,0.550697611,0.232639225,0.18172987,0.232843321,0.270123241,0.266154023,0.211965083,2.400298905,2.002046704,0.834082247,-0.82245558,-0.246243611,-0.136256692,-0.140615932,-0.099025566,-0.093524807,1.291238582,1.218779207,1.200343845,1.129529222,1.05833998,1.001732453,0.556743526,0.016556593,0.071586315,0.090098254,0.130531943,0.180549259,0.170126773,0.048576946
"if6 2 15api_Spine6.mat",0.0929989612098691,0.169803293,0.197572321,0.211628263,0.230623575,0.19462712,0.191781279,1.721700746,-1.418253294,1.265313655,1.134109925,-3.072651224,1.129380406,-0.589709612,-0.993225018,-0.987946207,-0.958118851,-0.992520385,-0.916348026,0.203146521,0.35185235,0.426070001,0.506474434,0.491458082,0.348887093,0.176070184,0.281849947,0.329465241,0.298519677,0.256479258,0.175160834,1.524586522,0.616230931,0.404195447,0.047053391,-0.112114042,-0.15404483,-0.14959057,-0.146915546,-0.179319683,0.259298338,0.457339124,0.573745162,0.587981529,0.569703317,0.579990113,0.375236562,0.009503905,0.05475268,0.10909073,0.142282204,0.125553138,0.077311558,0.017969886
"if6 2 20-3_Spine31.mat",0.0786917726593497,0.816734435,0.629909829,0.64185405,0.738933534,0.648489326,0.554375615,0.818701702,2.199097452,2.160219566,2.499145742,2.094930193,-1.075150443,-0.723801317,-0.9671014,-0.981856112,-0.747423207,-0.900553499,-0.990922356,0.588249212,0.361538595,0.40642636,0.311696173,0.333901606,0.303212563,0.286643139,0.259056724,0.259332957,0.236462581,0.25324523,0.275604292,0.786944967,0.892243995,1.13380736,-2.836809863,0.775598149,0.754172065,0.409915444,-0.467138306,-0.4820274,1.323018863,1.306111116,1.234026671,1.109961449,0.712302805,0.663171327,0.972794955,0.076167325,0.288306293,0.208261824,0.187795691,0.157139024,0.169711977,0.054786219
"m16 2 10-1_Spine52.mat",0.0395517869907799,0.404195702,0.394315466,0.372392047,0.358943625,0.37583939,0.244835295,1.641989877,1.591739009,0.275733574,-2.359393823,2.656296588,1.687783213,-0.640859827,-0.970205344,-0.975706387,-0.864351358,-0.912246005,-0.986842249,0.352805944,0.272589088,0.181612985,0.328246166,0.42954552,0.436753045,0.240761062,0.204366393,0.072306571,0.194432619,0.284324456,0.28701501,1.145647049,2.250207689,1.96413694,-0.092391457,-0.112825563,-0.313252811,0.025215401,0.138066738,0.114491997,1.092442724,1.234161844,1.254662926,0.650573502,0.727230208,0.722512842,0.471017473,0.019133253,0.089581932,0.037348271,0.051618997,0.115108688,0.157422132,0.04374179
"m16 2 11api_Spine136.mat",0.106222002835112,0.337501421,0.345797862,0.338738083,0.341874808,0.341335918,0.245193349,2.745208402,1.507950372,0.772004192,-1.441286353,3.070290202,-2.847555122,-0.960878473,-0.950635616,-0.936022464,-0.921919367,-0.958176379,-0.971222717,0.160117042,0.231658075,0.300405368,0.396226521,0.429704579,0.352230914,0.147290336,0.194515905,0.214010375,0.282865848,0.31367221,0.264537577,2.487261778,2.067817849,0.831363175,2.627232677,-1.406937537,-0.687636477,0.012584185,0.143306217,0.173430473,1.511001119,1.502589637,1.417999192,1.258363208,1.247936395,1.218189495,0.470936847,0.007728662,0.036878006,0.061958753,0.101486383,0.148705739,0.136801235,0.030627096
